Iteration,Selected Features,Accuracy,Precision,Recall,F1 Score,AUC-ROC
8622,"['total intl calls', 'customer service calls', 'total day minutes', 'international plan', 'total eve minutes', 'total night charge', 'account length', 'number vmail messages', 'total eve calls', 'total intl minutes']",0.9415292353823088,0.9027777777777778,0.6701030927835051,0.7692307692307692,0.8289111955145595
8623,"['account length', 'total intl minutes', 'total day calls', 'total night charge', 'total intl calls', 'total eve calls', 'total night calls', 'international plan', 'total eve minutes', 'total day charge']",0.8935532233883059,0.7241379310344828,0.4329896907216495,0.5419354838709677,0.7024597576415266
8624,"['international plan', 'total night charge', 'total intl calls', 'total night calls', 'total day charge', 'total intl charge', 'voice mail plan', 'total night minutes', 'total day minutes', 'customer service calls']",0.9085457271364318,0.75,0.5567010309278351,0.6390532544378699,0.7625610417797071
8625,"['total day calls', 'international plan', 'total intl minutes', 'voice mail plan', 'number vmail messages', 'total day minutes', 'total eve calls', 'customer service calls', 'total night minutes', 'total intl calls']",0.9100449775112444,0.7605633802816901,0.5567010309278351,0.6428571428571428,0.7634382347621631
8626,"['total night charge', 'total day minutes', 'total eve minutes', 'total eve calls', 'total day charge', 'international plan', 'voice mail plan', 'total eve charge', 'total night calls', 'total night minutes']",0.896551724137931,0.8333333333333334,0.36082474226804123,0.5035971223021583,0.6742720202568276
8627,"['total eve calls', 'total eve minutes', 'total night charge', 'total night calls', 'international plan', 'total day charge', 'total day calls', 'total eve charge', 'number vmail messages', 'total night minutes']",0.889055472263868,0.8484848484848485,0.28865979381443296,0.43076923076923074,0.6399439319949357
8628,"['number vmail messages', 'total night charge', 'total intl minutes', 'total intl charge', 'total day calls', 'total night calls', 'total intl calls', 'international plan', 'customer service calls', 'total day minutes']",0.9130434782608695,0.7746478873239436,0.5670103092783505,0.6547619047619047,0.769470066919877
8629,"['account length', 'total intl calls', 'total night calls', 'total intl minutes', 'total intl charge', 'total night charge', 'total eve calls', 'international plan', 'total day calls', 'customer service calls']",0.889055472263868,0.7346938775510204,0.3711340206185567,0.49315068493150693,0.6741635015373486
8630,"['total night calls', 'total night minutes', 'total eve calls', 'total intl calls', 'total eve charge', 'international plan', 'total eve minutes', 'customer service calls', 'total intl charge', 'account length']",0.8935532233883059,0.76,0.3917525773195876,0.5170068027210885,0.6853499728703201
8631,"['international plan', 'voice mail plan', 'total eve calls', 'total eve minutes', 'total day charge', 'number vmail messages', 'total day calls', 'total night calls', 'customer service calls', 'total night charge']",0.9085457271364318,0.8461538461538461,0.4536082474226804,0.5906040268456375,0.719786579851691
8632,"['customer service calls', 'international plan', 'total day calls', 'total eve minutes', 'total night minutes', 'number vmail messages', 'total intl charge', 'account length', 'total night charge', 'total day minutes']",0.9160419790104948,0.8596491228070176,0.5051546391752577,0.6363636363636364,0.7455597757279797
8633,"['total intl charge', 'international plan', 'total eve minutes', 'total night calls', 'total day minutes', 'total day charge', 'account length', 'total eve calls', 'total night minutes', 'total day calls']",0.881559220389805,0.68,0.35051546391752575,0.46258503401360546,0.6612226442394648
8634,"['international plan', 'total eve calls', 'total intl charge', 'total night minutes', 'total night charge', 'customer service calls', 'total day minutes', 'total eve charge', 'total eve minutes', 'total day calls']",0.9070464767616192,0.7333333333333333,0.5670103092783505,0.6395348837209303,0.7659612949900524
8635,"['international plan', 'account length', 'total intl charge', 'total intl calls', 'total night calls', 'customer service calls', 'total day calls', 'total night minutes', 'voice mail plan', 'total night charge']",0.8905547226386806,0.74,0.38144329896907214,0.5034013605442176,0.6793181407126063
8636,"['total night charge', 'total night calls', 'total day charge', 'number vmail messages', 'total intl minutes', 'total intl charge', 'total eve minutes', 'account length', 'total eve calls', 'total night minutes']",0.889055472263868,0.9259259259259259,0.25773195876288657,0.4032258064516128,0.627111593416531
